Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Amount,Open,High,Low,Gross Margin,SG&A to Sales,Operating Margin,Pretax Margin,Net Margin,Free Cash Flow Margin,Capex To Sales,Return on Assets,Return on Equity ,Return on Common Equity,Return on Total Capital,Return on Invested Capital,Cash Flow Return on Invested Capital,Price/Sales,Price/Earnings,Price/Book Value,Price/Tangible Book Value,Price/Cash Flow,Price/Free Cash Flow,Dividend Yield (%),Enterprise Value/EBIT,Enterprise Value/EBITDA,Enterprise Value/Sales,Total Debt/Enterprise Value,Sales per Share,EBIT (Operating Income) per Share,EPS (recurring),EPS (basic),EPS (diluted),Dividends per Share,Dividend Payout Ratio (%),Book Value per Share_x,Tangible Book Value per Share_x,Cash Flow per Share,Free Cash Flow per Share,Diluted Shares Outstanding  (M),Basic Shares Outstanding  (M),Total Shares Outstanding  (M),Cash & ST Investments,Receivables,Inventories_x,Current Assets,Fixed Assets,Total Assets_x,Accrued Payroll,Accumulated Depreciation,Additional Paid-In Capital/Capital Surplus,Book Value per Share_y,Capital and Operating Lease Obligations,Cash & Short-Term Investments,Cash Only,Common Equity,Common Stock Par/Carry Value,Deferred Income,Deferred Tax Liabilities,Intangible Assets,Inventories_y,Long-Term Debt,Long-Term Debt excl Lease Obligations,Miscellaneous Current Assets,Miscellaneous Current Liabilities,"Net Property, Plant & Equipment",Other Appropriated Reserves,Other Assets,Other Current Assets,Other Current Liabilities,Other Liabilities,Other Liabilities (excl. Deferred Income),Other Long-Term Investments,"Property, Plant & Equipment - Gross",Provision for Risks & Charges,Retained Earnings,Short-Term Receivables,Tangible Book Value per Share_y,Total Assets_y,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Shareholders' Equity,Total Long-Term Investments ,Total Shareholders' Equity,Total Short Term Investments,Treasury Stock,Unrealized Gain/Loss Marketable Securities
07/29/2024,111.59,248152100,-1.47,-1.300194587,-1.300196313,117.2,27691292839,113.69,116.28,111.3,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
07/26/2024,113.06,293399100,0.78,0.694691842,0.694692516,118.74,33171702246,116.19,116.2,111.58,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
07/25/2024,112.28,460067000,-1.97,-1.72428884,-1.724285155,113.31,51656322760,113.04,116.63,106.3,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
07/24/2024,114.25,327776900,-8.34,-6.803165022,-6.80316292,113.23,37448510825,119.17,119.95,113.44,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
07/23/2024,122.59,173911020,-0.95,-0.768981706,-0.76898452,113.15,21319751942,122.78,124.69,122.1,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
07/22/2024,123.54,258068890,5.61,4.757059272,4.757055228,113.07,31881830671,120.35,124.07,119.86,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
07/19/2024,117.93,217223810,-3.16,-2.609629201,-2.609626482,112.99,25617203913,120.35,121.6,117.37,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
07/18/2024,121.09,320979500,3.1,2.6273413,2.627342442,112.91,38867407655,121.85,122.4,116.56,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
07/17/2024,117.99,390086220,-8.37,-6.623931624,-6.623935562,112.83,46026273098,121.35,121.85,116.72,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
07/16/2024,126.36,214769500,-2.08,-1.619433198,-1.619434728,112.75,27138274020,128.44,129.04,124.58,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
07/15/2024,128.44,208326200,-0.8,-0.619003405,-0.619004574,112.67,26757417128,130.56,131.39,127.18,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
7/12/2024,129.24,252680500,1.84,1.444270016,1.444270408,112.59,32656427820,128.26,131.92,127.22,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
7/11/2024,127.4,374782700,-7.51,-5.566674079,-5.566672631,112.51,47747315980,135.75,136.15,127.05,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
7/10/2024,134.91,248978600,3.53,2.686862536,2.686858766,112.44,33589702926,134.03,135.1,132.42,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
7/09/2024,131.38,287020800,3.18,2.48049922,2.480516097,112.36,37708792704,130.35,133.82,128.65,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
7/08/2024,128.2,237677300,2.37,1.883493602,1.883483723,112.28,30470229860,127.49,130.77,127.04,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
7/05/2024,125.83,214176700,-2.45,-1.909884627,-1.909889685,112.2,26949854161,127.38,128.85,125.68,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
7/03/2024,128.28,215748980,5.61,4.573245292,4.573247855,112.12,27676279154,121.66,128.28,121.36,72.717573,18.59591,54.121664,55.510325,48.849348,44.353436,1.754703,55.672996,91.458074,91.458074,74.795273,69.808355,65.891018,24.984622,51.144725,34.990024,40.169993,54.187011,56.330748,0.026216,45.526428,43.535307,24.639661,0.007365,2.442743,1.322053,1.18838,1.2053,1.1933,0.016,1.34082,1.74424,1.519318,1.126303,1.08344,24940,24690,24640,3.101935,8.812672,3.183795,1.807292,12.057793,1.139688,675,3509,13132,1.74424,1119,25984,7280,42978,2,573,462,5542,5282,9578,8459,3080,5483,5260,27,2954,3080,6158,2079,1506,1546,8769,0,29817,9999,1.519318,65728,44345,10631,42978,22750,65728,1546,42978,18704,0,0
